Datetime,CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2004-03-10 18:00:00,2.6,150.0,11.9,166.0,113.0,1360.0,1046.0,1056.0,1692.0,1268.0,13.6,48.9,0.8
2004-03-10 19:00:00,2.0,112.0,9.4,103.0,92.0,1292.0,955.0,1174.0,1559.0,972.0,13.3,47.7,0.7
2004-03-10 20:00:00,2.2,88.0,9.0,131.0,114.0,1402.0,939.0,1140.0,1555.0,1074.0,11.9,54.0,0.8
2004-03-10 21:00:00,2.2,80.0,9.2,172.0,122.0,1376.0,948.0,1092.0,1584.0,1203.0,11.0,60.0,0.8
2004-03-10 22:00:00,1.6,51.0,6.5,131.0,116.0,1272.0,836.0,1205.0,1490.0,1110.0,11.2,59.6,0.8
2004-03-10 23:00:00,1.2,38.0,4.7,89.0,96.0,1197.0,750.0,1337.0,1393.0,949.0,11.2,59.2,0.8
2004-03-11 00:00:00,1.2,31.0,3.6,62.0,77.0,1185.0,690.0,1436.8,1333.0,733.0,11.3,56.8,0.8
2004-03-11 01:00:00,1.0,31.0,3.3,62.0,76.0,1136.0,672.0,1436.8,1333.0,730.0,10.7,60.0,0.8
2004-03-11 02:00:00,0.9,24.0,2.3,45.0,60.0,1094.0,609.0,1436.8,1276.0,620.0,10.7,59.7,0.8
2004-03-11 03:00:00,0.6,19.0,1.7,33.0,47.0,1010.0,561.0,1436.8,1235.0,501.0,10.3,60.2,0.8
2004-03-11 04:00:00,0.6,14.0,1.3,21.0,34.0,1011.0,527.0,1436.8,1197.0,445.0,10.1,60.5,0.7
2004-03-11 05:00:00,0.7,8.0,1.1,16.0,28.0,1066.0,512.0,1436.8,1182.0,422.0,11.0,56.2,0.7
2004-03-11 06:00:00,0.7,16.0,1.6,34.0,48.0,1052.0,553.0,1436.8,1221.0,472.0,10.5,58.1,0.7
2004-03-11 07:00:00,1.1,29.0,3.2,98.0,82.0,1144.0,667.0,1436.8,1339.0,730.0,10.2,59.6,0.7
2004-03-11 08:00:00,2.0,64.0,8.0,174.0,112.0,1333.0,900.0,1136.0,1517.0,1102.0,10.8,57.4,0.7
